LotArea,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,SalePrice
7892,0,1199,1199,1199,530,153900
17043,0,1362,1586,1586,435,181000
6780,0,520,520,754,0,84500
4928,0,1078,958,958,440,128000
4388,0,672,840,840,0,87000
7590,266,660,660,1348,453,155000
8973,85,1008,1053,1053,750,150000
14200,309,924,1216,2157,487,226000
12224,40,992,1022,2054,390,244000
7388,0,1063,1327,1327,624,150750
6853,136,1267,1296,1296,471,220000
10335,0,1461,1721,1721,440,180000
10400,288,1304,1682,1682,530,174000
10355,196,1214,1214,1214,318,143000
11070,70,1907,1959,1959,766,171000
9066,320,1004,1004,1852,660,230000
15426,0,928,928,1764,470,231500
10500,0,864,864,864,0,115000
11645,0,1734,1734,1734,660,260000
8520,0,910,910,1385,720,166000
10335,183,1490,1501,1501,577,204000
9100,336,1728,1728,1728,504,125000
2522,50,970,970,1709,380,130000
6120,0,715,875,875,180,105000
9505,180,884,884,2035,434,222500
7500,120,1080,1080,1080,0,141000
6240,0,896,896,1344,240,115000
10356,0,969,969,969,440,122000
13891,436,1710,1710,1710,866,372402
14803,252,825,1097,1993,495,190000
13500,0,1602,1252,1252,564,235000
11340,0,1200,1200,1200,312,125000
9600,0,572,572,1096,0,79000
7200,0,0,1040,1040,625,109500
12003,84,774,774,1968,680,269500
12552,0,991,991,1947,678,254900
19378,456,1392,1392,2462,576,320000
11120,0,1232,1232,1232,516,162500
13688,664,1572,1572,2668,726,412500
12182,226,1541,1541,1541,532,220000
5500,0,882,882,882,0,103200
5400,0,1149,1149,1616,216,152000
10106,0,644,808,1355,0,127500
10708,0,1617,1867,1867,303,190000
10562,300,1582,1610,2161,789,325624
8244,0,840,840,1720,440,183500
16669,653,1686,1707,1707,511,228000
12358,0,720,854,1382,660,128500
31770,112,1080,1656,1656,528,215000
5306,0,1064,1064,1767,504,239000
10197,491,1362,1362,1362,504,163000
12416,132,1606,1651,1651,616,184000
12615,0,1202,2158,2158,576,243000
10029,268,1151,1164,2060,521,211000
13650,0,1052,1252,1920,451,172500
17423,748,2216,2234,2234,1166,501837
8520,0,968,968,968,480,100000
2117,456,756,769,1525,440,177000
7588,0,793,901,1802,216,200100
9060,98,0,1340,1340,252,120000
11426,0,1362,1362,2082,484,200000
7438,0,504,936,1252,576,127000
22950,0,1107,1518,3608,840,475000
9947,0,1188,1217,1217,497,173000
10410,0,660,808,1656,180,135000
7018,275,1086,1224,1224,528,153337
4923,0,1593,1593,1593,682,286000
10570,0,853,1549,2727,440,315000
7472,138,725,725,1479,484,184000
9017,0,1431,1431,1431,666,192000
2522,50,970,970,1709,380,130000
7180,0,864,864,864,352,127000
2280,0,855,855,1456,440,148500
9416,205,1726,1726,1726,786,311872
25419,0,1360,1360,3112,795,235000
5520,0,755,929,2229,0,104000
9591,262,1713,1713,1713,856,274900
8546,0,1121,1121,1121,440,140000
10125,0,1196,1279,1279,473,171500
7000,0,617,865,1310,398,112000
4438,205,848,848,848,420,149000
3500,0,720,720,1284,240,110000
11851,0,1424,1442,1442,500,180500
13673,0,1140,1696,1696,349,143900
12493,0,1100,1100,1100,312,141000
14364,128,1157,1180,2062,454,277000
8250,260,1092,1092,1092,504,145000
5604,0,864,864,864,0,98000
10420,0,1212,1212,1212,460,186000
8640,0,900,932,1852,644,252678
13568,0,990,990,990,576,156000
10900,153,689,689,1392,299,161750
10011,64,1070,1236,1236,447,134450
8450,266,1436,1436,1436,484,210000
9906,0,686,810,1328,210,107000
15660,312,798,1137,1954,431,311500
3010,16,1248,1248,1248,438,167240
8990,0,1498,1498,1498,675,204900
8068,0,1010,1010,2267,390,200000
11475,0,713,811,1552,434,179900
10500,0,864,864,864,576,97000
13472,922,2392,2392,2392,968,386250
1680,142,630,630,1302,280,112000
9950,290,1203,1214,2520,721,290000
1869,127,483,483,987,280,106000
8521,0,912,912,912,336,125000
3182,16,1373,1555,1555,430,192500
8760,220,1194,1194,1194,312,148000
15138,506,1462,1490,2794,810,403000
1680,297,483,483,987,288,94500
10650,0,894,894,894,308,128200
7851,103,860,860,1960,440,216500
1680,604,483,483,987,264,89500
8773,98,1414,1414,1414,494,185500
9453,0,996,1014,1744,457,194500
12030,254,1694,1694,1694,818,318000
8741,0,735,798,1487,220,113000
9000,36,1566,1566,1566,750,262500
3880,0,686,866,866,0,110500
5000,0,540,889,1440,352,79000
10762,0,626,626,1217,288,120000
8880,0,948,1222,2110,463,205000
10400,102,1845,1872,1872,604,241500
9142,0,1020,908,1928,440,137000
11310,0,1367,1375,1375,451,140000
11317,101,840,840,1668,500,180000
159000,472,1444,1444,2144,389,277000
5350,0,728,1306,1306,0,76500
4750,481,1573,1625,1625,538,235000
8366,0,798,798,1640,520,173000
9350,108,1302,1302,1302,309,158000
8400,0,1314,1314,1314,294,145000
8738,302,975,1005,2291,429,230000
8791,0,864,864,1728,673,207500
8814,180,1604,1604,1604,660,220000
12435,172,963,963,1792,564,231500
12702,0,0,882,882,308,97000
19296,399,1362,1382,1382,884,176000
9588,270,1482,1482,2574,868,276000
8471,46,506,1212,1212,492,151000
5500,0,926,926,1316,484,130000
5232,0,680,764,764,504,73000
12090,210,1422,1422,1422,576,175500
11207,0,802,802,1511,413,185000
8400,0,720,1052,2192,240,179500
6900,0,740,778,778,924,120500
7917,174,1143,1113,1113,504,148000
10728,0,1095,1095,1939,1053,266000
39104,0,1385,1363,1363,439,241500
11764,348,1152,1164,2270,671,290000
9600,183,1240,1632,1632,338,139000
8314,0,816,816,816,264,124500
7264,0,952,952,1548,672,205000
9196,0,1560,1560,1560,573,201000
19138,0,864,864,864,400,141000
14450,315,2121,2121,2121,732,415298
10005,299,1160,1156,2022,505,192000
11287,340,807,1175,1982,575,228500
7200,68,1262,1262,1262,572,185000
5063,166,1314,1314,1314,626,207500
9612,72,1468,1468,1468,898,244600
8012,0,1575,1575,1575,529,179200
4251,0,625,625,1250,528,164700
9786,0,912,1085,1734,440,159000
8125,0,858,858,858,0,88000
9819,31,882,900,900,280,122000
8730,0,698,698,1396,384,153575
15611,0,1079,1079,1919,685,233230
5687,0,780,936,1716,0,135900
11409,0,768,1148,1716,281,131000
16659,34,795,1468,2263,539,235000
9600,238,1416,1644,1644,418,167000
7937,0,1003,1003,1003,588,142500
13710,0,910,910,1558,282,152000
7399,1600,975,975,1950,576,239000
11700,365,702,1041,1743,539,175000
14000,0,1092,1152,1152,300,158500
15750,56,1165,1336,1336,375,157000
16226,0,1028,1210,2452,683,267000
13704,150,1541,1541,1541,843,205000
9800,0,894,894,894,552,149900
18386,0,1470,1675,3493,870,295000
10386,246,2000,2000,2000,888,305900
13474,246,700,1122,2243,746,225000
7920,0,319,1035,1406,0,89500
12342,0,861,861,861,539,82500
12378,0,1896,1944,1944,708,360000
7685,112,697,697,1501,420,165600
8000,0,972,972,972,240,132000
7800,0,793,793,1118,410,119900
215245,0,2136,2036,2036,513,375000
9600,0,728,832,1641,546,178000
7795,0,716,716,1432,432,188500
13005,278,845,1153,2353,484,260000
9000,0,1088,1088,1959,1025,270000
9900,256,1347,1372,2646,656,260000
14115,225,1372,1472,1472,588,187500
16259,370,1249,1249,2596,840,342643
12099,388,1136,1136,2468,872,354000
10380,172,1502,1553,2730,576,301000
5820,0,1162,1163,1163,220,126175
11275,300,710,1898,2978,564,242000
5000,0,720,803,803,360,87000
10846,0,1719,1719,1719,473,324000
11600,175,1383,1383,1383,292,145250
11888,0,844,1445,2134,441,214500
6402,0,596,596,1192,189,78000
10624,84,1728,1728,1728,352,119000
8176,0,1056,1056,1056,308,139000
10655,296,3206,1629,1629,880,284000
8198,146,1358,1358,1358,484,207000
9042,0,943,943,1638,472,192000
164660,0,1499,1619,1786,529,228950
14157,200,1922,1922,1922,676,377426
9135,113,1536,1536,1536,532,214000
14145,0,1208,1621,1621,440,202500
12400,176,1215,1215,1215,297,155000
14191,0,967,993,1908,431,202900
8400,0,721,841,841,294,82000
8544,340,0,1040,1040,400,87500
8849,616,1684,1684,1684,564,266000
2592,0,536,536,1112,336,85000
6435,0,972,972,1577,312,140200
12772,0,958,958,958,301,151500
17600,30,1478,1478,1478,498,157500
2448,106,764,764,1626,474,154000
20431,870,1848,1848,2728,706,437154
7820,362,1869,1869,1869,617,318061
5271,0,1453,1453,1453,445,190000
9084,0,616,616,1111,200,95000
8520,0,624,720,720,484,105900
8400,0,940,1192,1595,240,140000
11249,0,1200,1200,1200,521,177500
9248,106,1158,1167,1167,400,173000
4224,0,1142,1142,1142,528,134000
6930,120,1062,1352,1352,288,130000
12011,530,1086,1086,1924,592,280000
7540,0,888,912,912,470,156000
9144,0,883,988,1505,240,145000
7301,500,0,495,1922,672,198500
1680,510,483,483,987,264,118000
18800,120,796,790,1574,566,190000
10690,0,672,672,1344,468,147000
9500,247,1394,1394,1394,514,159000
9150,305,1099,1431,1431,296,165000
7800,200,1268,1268,1268,244,132000
9830,0,1063,1287,1287,576,162000
8121,0,953,953,1664,460,172400
17120,0,0,1120,1588,680,134432
7175,0,744,752,752,264,125000
10634,0,608,1319,1319,270,123000
8200,0,847,847,1928,434,219500
10020,0,683,904,904,0,61000
8846,0,870,914,914,576,148000
11143,0,1580,1580,2466,610,340000
11394,350,1856,1856,1856,834,394432
8123,16,982,1007,1800,463,179000
5000,0,1026,1026,1691,308,127000
7200,0,1293,1301,1301,572,187750
9245,0,939,939,1797,639,213500
9000,0,784,784,784,360,76000
53107,0,1580,1079,1953,501,240000
3182,16,1256,1269,1269,430,192000
8410,0,658,658,1184,0,81000
7200,255,1041,1125,1125,352,125000
9382,125,1468,1479,1479,577,191000
12474,272,1682,1742,2332,846,426000
8405,0,861,961,1367,384,119000
12209,0,804,804,1961,560,215000
8339,0,0,882,882,294,106500
7446,0,788,788,788,0,100000
10134,0,735,735,1034,240,109000
9571,0,1144,1144,1144,596,129000
7200,0,894,894,894,600,123000
7590,288,864,876,1812,264,169500
8967,0,961,1077,1077,338,67000
8125,100,1092,1112,1550,438,241000
14963,0,1260,1288,1288,500,245500
8767,0,1310,1310,1310,400,164990
10200,0,672,672,672,240,108000
12090,650,1141,1165,2263,420,258000
10364,0,806,806,1572,373,168000
9991,0,1281,1620,1620,490,150000
10480,0,1064,1166,1639,240,115000
15576,0,840,840,1680,308,177000
14154,350,1063,1071,2172,947,280000
10800,100,1034,1050,2078,836,339750
9571,0,1276,1276,1276,350,60000
34650,0,1056,1056,1056,572,145000
4403,432,1470,1478,1478,484,222000
8960,0,1008,1028,1028,360,115000
11228,0,1080,1080,2097,678,228000
8899,0,1340,1340,1340,396,181134
7844,203,672,672,1400,440,149500
22420,0,1370,1370,2624,864,239000
8160,0,756,756,1134,240,126000
8450,0,1056,1056,1056,304,142000
7060,200,1344,1344,1344,784,206300
16635,126,1602,1602,1602,529,215000
21750,0,988,988,988,520,113000
9200,473,1470,1470,2630,696,315000
9000,74,1196,1196,1196,297,139000
3378,0,651,707,1389,240,135000
12800,145,1518,1644,1644,569,275000
8593,0,907,907,907,352,109008
6762,108,1208,1208,1208,628,195400
11457,0,1392,1412,1412,576,175000
1680,232,483,483,987,264,85400
5586,0,901,1088,1198,0,79900
1920,376,765,765,1365,440,122500
10839,0,926,926,1604,470,181000
1890,0,630,630,630,0,81000
10667,0,799,827,1661,550,212000
4400,0,648,734,1118,440,116000
6000,0,884,904,904,180,119000
4280,0,440,694,694,352,90350
12354,0,684,684,1196,528,110000
15431,200,3094,2402,2402,672,555000
12108,270,1440,1440,1440,0,118000
6240,0,1078,1128,1573,360,162900
3922,72,1258,1258,1258,648,172500
8750,0,915,933,1908,493,210000
9855,0,1436,1689,1689,480,127500
16492,0,1517,1888,1888,578,190000
11214,0,930,956,1886,431,199900
8600,0,780,780,1376,198,119500
6000,0,649,679,1183,308,120000
5684,0,813,813,813,270,110000
70761,0,1533,1533,1533,576,280000
9303,42,872,888,1756,422,204000
9000,0,768,786,1590,676,210000
9297,0,1728,1728,1728,560,188000
9600,320,1242,1242,1242,528,175500
4571,0,624,624,1344,513,98000
53227,0,1364,1663,1663,529,256000
5100,0,588,833,1666,228,161000
7015,161,709,979,1203,352,110000
8004,110,832,832,1935,552,263435
7200,0,560,575,1135,576,155000
8281,0,864,864,864,360,62383
11988,0,715,849,1660,240,188700
8430,136,1040,1040,1040,0,124000
3072,18,1375,1414,1414,398,178740
10628,0,1277,1277,1277,526,167000
9480,224,728,888,1644,312,146500
11428,248,1626,1634,1634,866,250000
9291,120,832,832,1710,506,187000
6820,0,1488,1502,1502,528,212000
11952,0,808,1161,1969,534,190000
3675,80,547,1072,1072,525,148000
14977,304,1976,1976,1976,908,440000
5330,0,1494,1652,1652,499,251000
8480,0,970,970,970,624,132500
13125,215,1478,1493,1493,508,208900
13693,772,2153,2069,2643,694,380000
10637,336,1705,1718,1718,826,297000
5925,435,907,1131,1131,672,89471
16033,378,1833,1850,1850,772,326000
11846,562,1792,1792,1792,874,374000
2500,0,910,916,1826,164,155000
4500,116,1216,1216,1216,402,164000
7758,0,999,999,999,264,132500
9600,0,1113,1113,1113,264,147000
10289,168,1073,1073,1073,515,156000
12243,0,1484,1484,1484,487,175000
10800,0,954,1766,2414,520,160000
1526,0,630,630,630,286,86000
2665,0,264,616,1304,336,115000
9490,0,806,958,1578,240,133000
15578,0,728,728,1456,429,172785
7931,0,1269,1269,1269,308,155000
5784,0,190,886,886,273,91300
7879,0,720,720,720,0,34900
12692,0,3200,3228,3228,546,430000
9120,0,1026,1133,1820,240,184000
7800,89,864,899,899,288,130000
7535,0,912,912,912,297,120000
1890,285,672,672,1218,264,113000
9803,0,866,866,1768,603,226700
9170,0,1214,1214,1214,461,140000
15602,0,1501,1801,1801,484,289000
2308,0,855,855,1322,440,147000
7596,360,960,960,1960,400,124500
9554,125,777,1065,1911,471,215000
7862,0,1218,1218,1218,676,208300
9600,0,689,689,1378,360,161000
9600,132,1041,1041,1041,270,124500
14559,70,1008,1363,1363,288,164900
6792,94,1368,1368,1368,474,202665
9100,0,864,864,864,624,129900
9187,0,1084,1080,1080,484,134000
10594,0,768,789,789,200,96500
12220,305,2006,2020,2020,900,402861
10448,333,689,1378,2119,583,158000
10208,921,1264,1277,2344,889,265000
9531,0,794,882,1796,546,211000
10918,0,1276,1276,2080,282,234000
10800,0,0,694,1294,0,106250
11988,0,1244,1244,1244,336,150000
5000,0,1004,1004,1664,420,159000
40094,762,3138,3138,4676,884,184750
11787,594,1379,1383,2398,834,315750
7500,0,1257,1266,1266,453,176000
13300,0,928,928,928,252,132000
14948,268,1452,1476,2713,858,446261
9098,0,528,605,605,0,86000
32668,103,2035,2515,2515,484,200624
10200,219,1461,1509,1509,600,175000
6155,0,611,751,1362,502,128000
7200,0,0,827,827,392,107500
5000,0,0,334,334,0,39300
9056,0,707,707,1414,403,178000
7000,0,1117,820,1347,0,107500
8924,0,880,880,1724,527,188000
12735,0,864,864,864,576,111250
11553,188,1051,1159,1159,336,158000
11423,479,1581,1601,1601,670,272000
14601,584,1838,1838,1838,765,315000
11000,72,969,997,2285,648,248000
10140,0,1650,1680,1680,583,213250
4058,182,723,767,767,367,133000
17104,0,654,664,1496,426,179665
13837,178,1204,1377,2183,786,229000
8737,0,1065,915,1635,440,210000
7244,0,768,768,768,624,129500
8235,0,825,825,825,720,125000
9375,0,912,912,2094,615,263000
4043,0,1069,1069,1069,440,140000
6000,0,928,928,928,288,112500
11146,250,1709,1717,1717,908,255500
8777,0,0,1126,1126,520,108000
10625,292,998,1006,2046,871,284000
6380,0,993,1048,1048,280,113000
14850,0,1092,1092,1092,299,141000
11040,0,637,897,1336,570,108000
21872,0,729,729,1446,406,175000
3196,18,1374,1557,1557,420,234000
11341,180,1392,1392,1392,528,121500
10010,0,1389,1389,1389,418,170000
13907,0,996,996,996,0,108000
21780,0,1163,1163,1674,396,185000
13346,0,1095,1166,2295,590,268000
6858,0,806,841,1647,216,128000
11198,245,1122,1134,2504,656,325000
10171,168,1517,1535,1535,532,214000
12327,0,1496,1496,2132,612,316600
7032,0,943,943,943,600,135960
13101,108,1728,1728,1728,576,142600
7332,207,864,864,864,288,120000
13159,0,846,846,1692,650,224500
9967,0,384,774,1430,400,170000
10500,82,372,576,1109,288,139000
8480,0,832,832,1216,336,118500
6292,0,861,877,1477,216,145000
11777,97,1164,1320,1320,564,164500
3604,0,689,703,1392,540,146000
12150,335,1050,1050,1795,352,131500
14585,85,1144,1429,1429,572,181900
12704,306,2042,2042,2042,1390,253293
11841,104,816,816,816,0,118500
13500,0,1237,1521,2775,880,325000
6120,0,884,989,1573,240,133000
11443,208,1868,2028,2028,880,369900
10267,0,816,838,838,275,130000
8740,0,840,860,860,528,137000
25095,0,1437,1473,1473,452,143000
9100,0,742,779,935,308,79500
8320,0,770,770,1582,520,185900
13478,420,1722,1728,2296,842,451950
6600,0,816,816,816,816,138000
4435,170,848,848,848,420,140000
7990,0,924,924,924,280,110000
11302,238,1814,1826,1826,758,319000
3600,0,684,684,1368,216,114504
3922,72,1258,1402,1402,648,194201
12984,459,1430,1647,1647,621,217500
1950,0,716,716,1556,452,151000
10927,280,1058,1058,1904,736,275000
9000,0,780,780,1375,544,141000
10041,0,908,927,1915,506,220000
3182,0,600,600,1200,480,151000
12803,99,1494,1494,1494,530,221000
13600,176,768,1186,1986,486,205000
12464,0,1040,1040,1040,576,152000
7800,0,896,1112,2008,230,225000
12168,0,965,1940,3194,380,359100
7943,192,1029,1029,1029,261,118500
11050,204,1440,1476,2153,736,313000
10395,233,1032,1032,1032,564,148000
11885,108,1299,1299,1872,531,261500
8402,0,1120,1120,1120,0,147000
1491,0,630,630,630,0,75500
8800,156,936,1054,1054,480,137500
7861,0,783,807,1509,393,183200
7227,0,832,832,832,528,105500
11694,452,1822,1828,1828,774,314813
12244,226,1482,1482,2262,749,305000
8248,0,864,864,864,0,67000
10800,0,1522,1548,2614,624,240000
7064,153,980,980,980,484,135000
2117,513,756,756,1512,440,168500
10400,288,732,1012,1790,484,165150
10000,261,1116,1116,1116,440,160000
12342,0,978,1422,1422,286,139900
9600,164,1156,1520,1520,364,153000
11606,192,1040,1040,2080,504,135000
9020,259,1248,1350,1350,520,168500
9000,0,636,1089,1750,240,124000
4590,108,1554,1554,1554,627,209500
11900,209,1386,1411,1411,544,82500
9250,0,1056,1056,1056,260,139400
6979,0,1056,1056,1056,576,144000
10896,0,1440,1440,3395,0,200000
6120,0,264,800,800,0,60000
6000,0,811,811,1387,256,93000
8777,0,796,796,796,0,85000
3982,0,1520,1567,1567,648,264561
12677,472,1518,1518,1518,588,274000
7050,0,1057,1057,1929,650,226000
13860,0,1952,2000,2704,538,345000
10793,263,780,780,1620,462,152000
9187,162,1766,1766,1766,478,370878
10530,0,981,981,981,576,143250
7200,0,0,1048,1048,420,98300
10452,216,1094,1094,1094,495,155000
7700,351,756,1051,1839,442,155000
1936,0,630,630,630,0,84500
8125,103,813,822,1665,562,205950
9084,0,755,755,1510,296,108000
8750,0,880,909,1716,512,191000
10320,0,756,756,1469,216,135000
10437,660,2109,2113,2113,839,350000
1680,381,525,525,1092,264,88000
10007,54,1053,1053,1053,312,145500
7200,0,776,851,1502,270,149000
17503,0,912,912,1458,330,97500
9937,0,1486,1486,1486,480,167000
12384,233,793,1142,1935,550,197900
46589,528,1629,1686,2448,711,402000
13560,216,1392,1392,1392,576,110000
10012,0,1138,1181,1181,588,137500
20896,0,2077,2097,2097,1134,423000
11194,40,1406,1454,1936,504,230500
18450,113,1021,1465,2380,596,129000
8125,258,1408,1679,1679,575,193500
14175,0,1188,1437,1437,576,168000
11600,0,700,1180,1180,252,137500
8633,0,738,738,1476,540,173500
6629,0,672,697,1369,300,103600
11250,0,1208,1208,1208,546,165000
14442,106,1477,1839,1839,416,257500
9200,0,1136,1136,1136,384,140000
2289,0,855,855,1441,440,148500
9600,0,1095,1095,1774,779,87000
9022,0,768,792,792,240,109500
11844,464,2046,2046,2046,834,372500
9945,57,988,988,988,572,128500
8012,0,923,923,923,264,143000
4500,0,793,848,1520,281,159434
2887,0,1291,1291,1291,431,173000
11248,215,1626,1668,1668,702,285000
16770,30,1195,1195,1839,486,221000
5062,0,1190,1190,2090,577,207500
10207,0,874,874,1761,578,227875
5105,0,551,551,1102,480,148800
8089,0,1419,1419,1419,567,392000
7577,256,1362,1362,1362,460,194700
4426,147,848,848,848,420,141000
21535,1170,2444,2444,4316,832,755000
26178,293,1210,1238,2519,628,335000
5400,0,1073,1073,1073,326,108480
6120,0,927,1067,1539,576,141500
13811,72,1112,1137,1137,551,176000
6000,0,616,616,616,205,89000
6420,0,980,1148,1148,308,123500
8450,0,894,894,894,336,138500
4282,0,1391,1391,1391,530,196000
14331,630,1800,1800,1800,765,312500
9600,168,1164,1164,1164,528,140000
12438,466,1234,1264,2576,666,361919
7630,0,360,1032,1812,672,140000
8400,109,1473,1484,1484,606,213000
5600,0,0,372,1092,0,55000
115149,351,1643,1824,1824,739,302000
6240,176,1324,1324,1324,550,254000
9018,0,728,728,1456,400,179540
7162,41,876,904,904,408,109900
4130,0,270,729,729,0,52000
8712,0,859,859,1178,384,102776
4671,0,1228,1228,1228,472,189000
9873,160,960,960,960,576,129000
13517,289,725,725,1479,475,130500
10140,174,1064,1350,1350,478,165000
10800,0,718,1576,2554,704,159500
10000,0,1176,1178,1178,439,157000
10542,651,1311,1325,2418,983,341000
9920,0,971,971,971,300,128500
6563,0,1742,1742,1742,564,275000
4426,169,848,848,848,420,143000
8120,0,864,864,864,463,124500
8172,0,941,997,1470,548,135000
13286,340,1698,1698,1698,768,320000
6960,0,864,864,864,660,120500
21695,260,880,1680,1680,540,222000
7314,82,1232,1232,1232,632,194500
11475,95,1584,1776,1776,888,110000
6240,0,780,848,1208,539,103000
5389,0,1595,1616,1616,608,236500
9590,442,868,1146,1146,438,187500
11404,202,1153,1153,2031,541,222500
10000,0,864,1144,1144,264,131400
8978,0,948,948,948,300,108000
10800,0,880,880,1768,320,163000
8544,0,0,1040,1040,400,93500
10463,0,893,901,1801,800,239900
10800,0,1200,1200,1200,0,179000
9313,0,864,864,1728,572,190000
9600,0,264,768,1432,360,132000
6768,0,912,912,912,288,142000
8450,108,1349,1349,1349,539,179000
12886,0,520,1464,1464,480,175000
5395,0,1337,1337,1337,462,180000
8963,289,1142,1175,2715,831,299800
8795,0,952,980,2256,554,236000
11700,0,1240,1320,2640,864,265979
10593,338,1720,1720,1720,527,260400
8405,0,0,1088,1529,240,98000
8800,0,576,792,1140,0,96500
7750,0,660,660,1320,400,162000
9236,0,1479,1494,1494,576,217000
10240,178,1030,1038,2098,878,275500
7930,0,1026,1026,1026,440,156000
3230,894,729,742,1471,440,172500
10769,0,866,866,1768,578,212000
11616,328,672,672,1386,440,158900
2280,360,744,757,1501,440,179400
12257,513,1318,1328,2531,752,290000
9100,0,864,864,864,300,127500
6911,0,1145,1301,1301,440,100000
8640,0,756,764,1547,614,215200
9430,673,1252,1268,2365,856,337000
9549,0,1494,1494,1494,481,270000
14587,284,1498,1506,1506,592,264132
10421,42,980,980,1714,496,196500
12508,0,983,983,1750,423,160000
9100,0,1860,1836,1836,484,216837
53504,603,1650,1690,3279,841,538000
7252,0,858,858,858,576,134900
8877,0,836,1220,1220,396,102000
7819,0,1029,1117,1117,672,107000
10150,1,912,912,912,275,114500
